,unique_id,time,DAP,TimeGPT,TimeGPT-hi-90,TimeGPT-lo-90
72,0,2023-01-04 00:00:00,15.3659,15.549416,33.489536,-2.3907044
73,0,2023-01-04 01:00:00,10.5971,12.702847,30.569754,-5.164061
74,0,2023-01-04 02:00:00,10.0738,11.633179,28.405764,-5.139406
75,0,2023-01-04 03:00:00,10.0365,20.851032,39.11857,2.583496
76,0,2023-01-04 04:00:00,12.1835,27.368904,46.15457,8.583234
77,0,2023-01-04 05:00:00,17.7875,32.41615,56.80903,8.023269
78,0,2023-01-04 06:00:00,28.2884,40.93689,69.656494,12.217284
79,0,2023-01-04 07:00:00,34.306,38.497272,66.42662,10.567923
80,0,2023-01-04 08:00:00,22.6941,28.095196,47.18147,9.008924
81,0,2023-01-04 09:00:00,19.582,21.451385,38.037045,4.8657274
82,0,2023-01-04 10:00:00,17.2498,21.780148,41.37746,2.1828327
83,0,2023-01-04 11:00:00,16.1719,17.96085,39.390125,-3.468424
84,0,2023-01-04 12:00:00,16.0445,14.585018,39.159378,-9.989344
85,0,2023-01-04 13:00:00,16.2035,13.799313,59.410107,-31.811481
86,0,2023-01-04 14:00:00,16.8682,11.506386,65.17224,-42.159473
87,0,2023-01-04 15:00:00,18.7581,17.012768,131.87666,-97.85111
88,0,2023-01-04 16:00:00,28.4911,18.879665,146.701,-108.94167
89,0,2023-01-04 17:00:00,39.7356,38.78713,174.43472,-96.86047
90,0,2023-01-04 18:00:00,40.5592,50.283783,142.50948,-41.941906
91,0,2023-01-04 19:00:00,34.2209,35.60891,163.86903,-92.651215
92,0,2023-01-04 20:00:00,32.8211,26.394827,124.30448,-71.514824
93,0,2023-01-04 21:00:00,28.8652,21.066364,67.65374,-25.521011
94,0,2023-01-04 22:00:00,25.2316,21.967155,56.825104,-12.890794
95,0,2023-01-04 23:00:00,23.7955,13.235905,40.503685,-14.031876
96,0,2023-01-05 00:00:00,26.8374,23.750813,41.361782,6.1398425
97,0,2023-01-05 01:00:00,23.6438,25.0248,43.906616,6.142983
98,0,2023-01-05 02:00:00,23.9924,26.86245,43.45623,10.268671
99,0,2023-01-05 03:00:00,26.0457,31.22221,48.099934,14.344488
100,0,2023-01-05 04:00:00,26.9207,35.112816,53.370678,16.854952
101,0,2023-01-05 05:00:00,33.2211,38.400482,57.24731,19.553652
102,0,2023-01-05 06:00:00,72.7941,54.119232,91.25069,16.987782
103,0,2023-01-05 07:00:00,80.0847,93.935936,135.54402,52.327858
104,0,2023-01-05 08:00:00,33.9344,45.98804,65.52606,26.450027
105,0,2023-01-05 09:00:00,27.6211,25.200874,42.874447,7.5273027
106,0,2023-01-05 10:00:00,27.064,18.834976,41.03382,-3.363872
107,0,2023-01-05 11:00:00,25.288,19.437477,43.64303,-4.7680755
108,0,2023-01-05 12:00:00,24.7512,21.746101,50.385654,-6.893453
109,0,2023-01-05 13:00:00,22.0884,21.128773,76.42876,-34.171215
110,0,2023-01-05 14:00:00,21.3231,21.97268,122.65541,-78.71005
111,0,2023-01-05 15:00:00,21.4459,23.52324,188.16776,-141.12128
112,0,2023-01-05 16:00:00,25.821,30.11496,210.50432,-150.2744
113,0,2023-01-05 17:00:00,54.5558,38.981445,148.59433,-70.63144
114,0,2023-01-05 18:00:00,31.921,37.18508,113.12894,-38.75877
115,0,2023-01-05 19:00:00,23.8217,24.56517,122.86137,-73.731026
116,0,2023-01-05 20:00:00,21.9384,17.952625,92.59254,-56.687294
117,0,2023-01-05 21:00:00,20.8182,13.400749,54.293835,-27.492336
118,0,2023-01-05 22:00:00,20.131,8.265198,35.275246,-18.744852
119,0,2023-01-05 23:00:00,15.211,3.6349373,32.140408,-24.870533
120,0,2023-01-06 00:00:00,9.59743,10.01688,31.658712,-11.624951
121,0,2023-01-06 01:00:00,8.31452,12.598106,28.776949,-3.580736
122,0,2023-01-06 02:00:00,10.1557,11.003353,31.123825,-9.11712
123,0,2023-01-06 03:00:00,10.7544,10.733818,32.949524,-11.481889
124,0,2023-01-06 04:00:00,14.7479,13.37949,37.87813,-11.119152
125,0,2023-01-06 05:00:00,22.993,13.346592,37.74808,-11.054898
126,0,2023-01-06 06:00:00,36.0056,21.398277,76.06373,-33.267178
127,0,2023-01-06 07:00:00,33.5713,25.419743,85.72084,-34.881348
128,0,2023-01-06 08:00:00,33.347,11.994652,46.854492,-22.86519
129,0,2023-01-06 09:00:00,26.4088,0.9368744,26.41349,-24.539742
130,0,2023-01-06 10:00:00,18.9801,0.95349884,23.295969,-21.388971
131,0,2023-01-06 11:00:00,17.9212,4.228592,31.97217,-23.514988
132,0,2023-01-06 12:00:00,15.9722,4.624954,40.274548,-31.024641
133,0,2023-01-06 13:00:00,14.9841,3.958084,44.160515,-36.244347
134,0,2023-01-06 14:00:00,12.6419,4.6539726,64.90279,-55.59484
135,0,2023-01-06 15:00:00,14.8527,13.972942,133.06705,-105.12115
136,0,2023-01-06 16:00:00,21.3746,23.879963,145.5002,-97.74027
137,0,2023-01-06 17:00:00,46.2814,29.009445,130.38043,-72.361534
138,0,2023-01-06 18:00:00,33.2531,31.199993,91.38905,-28.98907
139,0,2023-01-06 19:00:00,21.5652,26.840492,121.61064,-67.92966
140,0,2023-01-06 20:00:00,19.7792,15.974098,94.362625,-62.41443
141,0,2023-01-06 21:00:00,20.3291,9.343037,45.9626,-27.276527
142,0,2023-01-06 22:00:00,19.1389,4.7713356,40.63371,-31.091038
143,0,2023-01-06 23:00:00,18.5857,1.4616127,32.818848,-29.895622
144,0,2023-01-07 00:00:00,25.2567,23.3405,46.245743,0.43525735
145,0,2023-01-07 01:00:00,21.8905,27.46344,51.46358,3.4632978
146,0,2023-01-07 02:00:00,20.5629,15.494076,41.80697,-10.818818
147,0,2023-01-07 03:00:00,19.7803,16.576744,46.310192,-13.156701
148,0,2023-01-07 04:00:00,18.888,24.796803,51.15665,-1.5630476
149,0,2023-01-07 05:00:00,18.8071,34.393456,58.444126,10.342786
150,0,2023-01-07 06:00:00,21.9466,43.131546,69.95212,16.310976
151,0,2023-01-07 07:00:00,25.5564,51.933205,81.443436,22.422976
152,0,2023-01-07 08:00:00,21.9541,45.286995,71.43064,19.143345
153,0,2023-01-07 09:00:00,20.3609,31.428173,59.324375,3.531973
154,0,2023-01-07 10:00:00,22.3374,28.644634,51.363155,5.926111
155,0,2023-01-07 11:00:00,23.8756,25.055115,49.466316,0.6439144
156,0,2023-01-07 12:00:00,24.5007,30.728832,54.52944,6.9282236
157,0,2023-01-07 13:00:00,24.9939,32.164642,76.13682,-11.807535
158,0,2023-01-07 14:00:00,23.2402,30.117706,77.84326,-17.607853
159,0,2023-01-07 15:00:00,24.9918,31.044044,105.75745,-43.669353
160,0,2023-01-07 16:00:00,25.5337,35.822525,105.00727,-33.362225
161,0,2023-01-07 17:00:00,53.8997,50.07354,119.09529,-18.948215
162,0,2023-01-07 18:00:00,40.1446,41.198723,108.39297,-25.99552
163,0,2023-01-07 19:00:00,31.1782,39.52058,113.84873,-34.807575
164,0,2023-01-07 20:00:00,28.7989,34.485992,77.236755,-8.264774
165,0,2023-01-07 21:00:00,27.6905,36.99105,63.742912,10.23919
166,0,2023-01-07 22:00:00,25.9276,37.7323,60.17236,15.292241
167,0,2023-01-07 23:00:00,24.9299,34.98478,55.40965,14.559909
168,0,2023-01-08 00:00:00,27.1811,26.529083,42.80797,10.250199
169,0,2023-01-08 01:00:00,24.4058,31.175385,49.843967,12.506802
170,0,2023-01-08 02:00:00,23.1302,28.209255,48.80068,7.617834
171,0,2023-01-08 03:00:00,23.5387,30.68155,56.3952,4.9679
172,0,2023-01-08 04:00:00,23.8985,33.325634,59.248726,7.4025426
173,0,2023-01-08 05:00:00,25.6358,35.602516,62.51531,8.689724
174,0,2023-01-08 06:00:00,26.8478,34.352097,61.324177,7.3800173
175,0,2023-01-08 07:00:00,30.8873,32.16986,58.329197,6.0105247
176,0,2023-01-08 08:00:00,27.5757,31.544937,58.085606,5.004267
177,0,2023-01-08 09:00:00,23.7088,20.209557,44.45208,-4.0329666
178,0,2023-01-08 10:00:00,21.9528,20.240974,38.722527,1.7594225
179,0,2023-01-08 11:00:00,21.6128,25.815659,43.84635,7.784967
180,0,2023-01-08 12:00:00,20.7007,26.51332,49.08676,3.939881
181,0,2023-01-08 13:00:00,20.2011,24.795773,65.44164,-15.850103
182,0,2023-01-08 14:00:00,19.7668,23.682785,81.47913,-34.113564
