unique_id,time,DAP,TimeGPT,TimeGPT-hi-90,TimeGPT-lo-90
0,2023-01-04 02:00:00,10.0738,-0.7135248,9.164093,-10.591143
0,2023-01-04 03:00:00,10.0365,-0.2045517,18.12392,-18.533024
0,2023-01-04 04:00:00,12.1835,-4.470361,22.898052,-31.838774
0,2023-01-04 05:00:00,17.7875,-1.2021937,34.345154,-36.749542
0,2023-01-04 06:00:00,28.2884,11.167181,36.83205,-14.497688
0,2023-01-04 07:00:00,34.306,20.41729,40.839973,-0.0053930283
0,2023-01-04 08:00:00,22.6941,10.879154,22.908064,-1.149755
0,2023-01-04 09:00:00,19.582,9.530841,17.176363,1.8853197
0,2023-01-04 10:00:00,17.2498,6.7150183,23.174778,-9.74474
0,2023-01-04 11:00:00,16.1719,-3.0368438,19.372725,-25.446413
0,2023-01-04 12:00:00,16.0445,-10.964584,13.17203,-35.1012
0,2023-01-04 13:00:00,16.2035,-15.680708,5.4433236,-36.804737
0,2023-01-04 14:00:00,16.8682,-13.857639,-2.0645373,-25.650742
0,2023-01-04 15:00:00,18.7581,-9.530615,0.35818624,-19.419416
0,2023-01-04 16:00:00,28.4911,-4.004103,8.360064,-16.368269
0,2023-01-04 17:00:00,39.7356,3.4946792,26.02937,-19.040012
0,2023-01-04 18:00:00,40.5592,0.57770896,27.222649,-26.06723
0,2023-01-04 19:00:00,34.2209,1.789679,37.262547,-33.68319
0,2023-01-04 20:00:00,32.8211,3.7096093,37.652267,-30.23305
0,2023-01-04 21:00:00,28.8652,2.6408255,30.011597,-24.729946
0,2023-01-04 22:00:00,25.2316,-2.4887648,18.058887,-23.036415
0,2023-01-04 23:00:00,23.7955,-6.868282,13.068599,-26.805164
0,2023-01-05 00:00:00,26.8374,10.765747,21.39261,0.13888288
0,2023-01-05 01:00:00,23.6438,10.004017,19.029755,0.97827923
0,2023-01-05 02:00:00,23.9924,3.7637553,17.050816,-9.523306
0,2023-01-05 03:00:00,26.0457,3.332993,21.14644,-14.480455
0,2023-01-05 04:00:00,26.9207,6.9289703,32.028267,-18.170326
0,2023-01-05 05:00:00,33.2211,12.920988,46.8245,-20.982525
0,2023-01-05 06:00:00,72.7941,19.321056,68.50162,-29.85951
0,2023-01-05 07:00:00,80.0847,20.392096,74.69037,-33.906174
0,2023-01-05 08:00:00,33.9344,10.425379,50.918945,-30.068193
0,2023-01-05 09:00:00,27.6211,7.797865,35.11277,-19.517038
0,2023-01-05 10:00:00,27.064,2.4240906,12.248577,-7.400396
0,2023-01-05 11:00:00,25.288,-7.3549943,-5.645,-9.064988
0,2023-01-05 12:00:00,24.7512,-8.3221035,-1.5237627,-15.120444
0,2023-01-05 13:00:00,22.0884,-8.116198,4.057282,-20.289677
0,2023-01-05 14:00:00,21.3231,-2.34242,9.449042,-14.133883
0,2023-01-05 15:00:00,21.4459,7.942631,16.93386,-1.0485992
0,2023-01-05 16:00:00,25.821,6.852188,23.291384,-9.5870075
0,2023-01-05 17:00:00,54.5558,14.612677,29.72334,-0.4979868
0,2023-01-05 18:00:00,31.921,13.095459,48.179367,-21.98845
0,2023-01-05 19:00:00,23.8217,17.64952,64.00638,-28.707333
0,2023-01-05 20:00:00,21.9384,14.7390175,77.84624,-48.368202
0,2023-01-05 21:00:00,20.8182,11.260132,77.48585,-54.965584
0,2023-01-05 22:00:00,20.131,6.890767,48.33268,-34.551147
0,2023-01-05 23:00:00,15.211,3.6521542,47.514545,-40.21024
0,2023-01-06 00:00:00,9.59743,2.2645102,20.406937,-15.877915
0,2023-01-06 01:00:00,8.31452,3.6679468,17.022572,-9.686678
0,2023-01-06 02:00:00,10.1557,7.7908707,22.119528,-6.537786
0,2023-01-06 03:00:00,10.7544,16.476055,41.531456,-8.579347
0,2023-01-06 04:00:00,14.7479,23.450598,63.471245,-16.570053
0,2023-01-06 05:00:00,22.993,29.552938,107.028015,-47.922134
0,2023-01-06 06:00:00,36.0056,42.904312,240.81172,-155.00308
0,2023-01-06 07:00:00,33.5713,40.961597,335.21112,-253.28789
0,2023-01-06 08:00:00,33.347,31.260345,319.90225,-257.38156
0,2023-01-06 09:00:00,26.4088,16.324972,141.73448,-109.08455
0,2023-01-06 10:00:00,18.9801,6.276134,90.74454,-78.19227
0,2023-01-06 11:00:00,17.9212,0.33720994,59.780354,-59.10593
0,2023-01-06 12:00:00,15.9722,-7.0732846,26.278011,-40.42458
0,2023-01-06 13:00:00,14.9841,-4.2594924,15.837851,-24.356836
0,2023-01-06 14:00:00,12.6419,-1.744256,12.454857,-15.943369
0,2023-01-06 15:00:00,14.8527,6.6090574,20.404991,-7.186875
0,2023-01-06 16:00:00,21.3746,4.2688932,47.783684,-39.2459
0,2023-01-06 17:00:00,46.2814,15.791935,337.6625,-306.07864
0,2023-01-06 18:00:00,33.2531,21.623169,373.77234,-330.526
0,2023-01-06 19:00:00,21.5652,25.530485,368.62418,-317.5632
0,2023-01-06 20:00:00,19.7792,25.770233,364.81024,-313.26978
0,2023-01-06 21:00:00,20.3291,25.486643,236.96921,-185.99593
0,2023-01-06 22:00:00,19.1389,15.698984,116.384315,-84.98634
0,2023-01-06 23:00:00,18.5857,13.144716,71.20869,-44.919254
0,2023-01-07 00:00:00,25.2567,7.690851,428.60464,-413.22293
0,2023-01-07 01:00:00,21.8905,8.369106,379.53058,-362.79236
